Argumentation,Narration,Reading,HeritageSpeaker
23,13,0.9473684211,no
21,14,0.8421052632,no
21,12,0.8947368421,no
20,13,0.8421052632,no
18,11,0.4736842105,no
16,11,0.7368421053,no
22,13,0.5789473684,no
20,10,0.7894736842,no
19,10,0.8421052632,no
22,12,0.7368421053,no
14,10,0.5789473684,no
15,9,0.6842105263,no
15,9,0.7894736842,no
23,14,1,no
22,12,0.9473684211,no
15,11,0.8421052632,no
18,10,0.7894736842,no
18,9,0.8421052632,no
19,14,1,no
16,10,0.8421052632,no
10,9,0.7894736842,no
11,11,0.8421052632,no
18,10,0.8421052632,no
16,9,0.9473684211,no
22,10,0.8421052632,no
24,11,0.9473684211,no
12,10,0.7894736842,no
15,10,0.6315789474,no
19,10,0.7894736842,no
15,8,0.9473684211,no
20,11,0.8421052632,no
14,8,0.6842105263,no
16,12,0.8421052632,no
20,14,0.8947368421,no
19,13,0.8947368421,no
17,11,0.9473684211,no
19,12,0.7894736842,no
15,8,0.3684210526,no
20,11,0.8947368421,no
20,13,0.7894736842,no
17,14,0.4736842105,no
16,10,0.9473684211,no
19,10,0.7894736842,no
20,12,0.6315789474,no
18,15,0.8947368421,no
20,10,0.9473684211,no
15,9,0.7368421053,no
12,12,0.5263157895,no
13,7,0.5263157895,no
16,11,0.9473684211,no
16,8,1,no
15,11,0.8421052632,no
13,10,0.8947368421,no
15,8,0.6842105263,no
20,13,0.7894736842,no
18,12,0.8421052632,no
20,15,0.7894736842,no
19,11,0.8947368421,no
19,11,0.8947368421,no
17,7,0.5263157895,no
13,11,0.7894736842,no
14,9,0.6315789474,no
18,8,0.9473684211,no
15,9,0.6842105263,no
19,9,0.8421052632,no
10,14,0.7894736842,no
10,13,0.6315789474,no
13,9,0.7368421053,yes
10,7,0.5263157895,yes
7,6,0.2631578947,yes
11,8,0.6842105263,yes
9,8,0.3684210526,yes
10,6,0.4736842105,yes
9,6,0.3684210526,yes
8,7,0.4736842105,yes
19,11,0.8947368421,yes
18,12,0.9473684211,yes
13,9,0.6315789474,yes
16,6,0.5789473684,yes
10,11,0.9473684211,yes
15,10,0.4736842105,yes
17,5,0.8421052632,yes
20,10,0.9473684211,yes
11,7,0.5263157895,yes
21,9,0.7368421053,yes
20,9,0.7894736842,yes
20,6,0.8421052632,yes
10,8,0.8947368421,yes
14,8,0.8947368421,yes
15,6,0.7894736842,yes
4,5,0.4210526316,yes
20,10,0.8947368421,yes
4,8,0.7368421053,yes
10,7,0.5789473684,yes
3,4,0.6315789474,yes
9,8,0.7368421053,yes
10,8,0.5789473684,yes
8,5,0.4210526316,yes
11,7,0.6842105263,yes
10,8,0.7368421053,yes
16,9,0.6315789474,yes
12,5,0.3684210526,yes
8,5,0.3684210526,yes
15,8,0.4210526316,yes
13,10,0.9473684211,yes
10,9,0.3157894737,yes
15,8,0.4736842105,yes
9,7,0.3157894737,yes
11,9,0.4736842105,yes
17,7,0.7894736842,yes
9,10,0.5263157895,yes
9,7,0.8947368421,yes
13,8,0.6315789474,yes
6,5,0.3684210526,yes
12,6,0.7894736842,yes
9,7,0.7368421053,yes
7,6,0.4736842105,yes
9,7,0.5263157895,yes
21,15,1,yes
22,16,0.8947368421,yes
17,12,0.8947368421,yes
14,10,0.4736842105,yes
11,9,0.8421052632,yes
19,10,1,yes
18,9,0.6315789474,yes
7,10,0.5263157895,yes
10,6,0.5789473684,yes
9,8,0.5789473684,yes
8,11,0.5789473684,yes
15,11,0.5263157895,yes
11,12,0.6842105263,yes
21,14,0.9473684211,yes
20,9,0.7894736842,yes
8,8,0.3684210526,yes
8,6,0.6315789474,yes
16,9,0.8421052632,yes
5,7,0.5789473684,yes
11,6,0.5263157895,yes
18,6,0.4736842105,yes
16,8,0.9473684211,yes
11,12,0.6315789474,yes
11,8,0.5789473684,yes
14,7,0.6315789474,yes
12,9,0.5789473684,yes
15,11,0.7894736842,yes
19,8,0.8421052632,yes
9,8,0.5263157895,yes
9,10,0.7894736842,yes
13,7,0.4736842105,yes
12,7,0.6842105263,yes
13,10,0.7368421053,yes
17,11,0.6315789474,yes
17,12,0.9473684211,yes
11,7,0.4210526316,yes
11,7,0.9473684211,yes
7,5,0.8947368421,yes
10,8,0.7368421053,yes
11,6,0.4736842105,yes
16,8,0.7894736842,yes
13,11,0.9473684211,yes
20,15,0.8947368421,yes
12,12,0.5263157895,yes
20,13,0.6842105263,yes
14,11,0.5263157895,yes
19,10,0.4210526316,yes
11,9,0.6315789474,yes
19,8,0.5263157895,yes
13,10,0.4736842105,yes
18,11,0.5263157895,yes
21,11,0.7368421053,yes
11,12,0.5263157895,yes
10,8,0.6315789474,yes
13,10,0.9473684211,yes
11,8,0.4736842105,yes
15,8,0.5263157895,yes
14,9,0.6842105263,yes
11,8,0.4736842105,yes
9,12,0.6315789474,yes
12,8,0.5263157895,yes
15,8,0.8947368421,yes
16,10,0.7368421053,yes
16,9,0.5789473684,yes
10,10,0.4210526316,yes
8,6,0.4736842105,yes
19,11,0.8947368421,yes
12,11,0.6315789474,yes
9,11,0.5789473684,yes
12,9,0.5263157895,yes
9,8,0.5263157895,yes
10,10,0.3684210526,yes
11,9,0.4736842105,yes
9,4,0.6315789474,yes
12,7,0.6315789474,yes
8,10,0.4210526316,yes
8,8,0.5263157895,yes
11,8,0.3157894737,yes
13,7,0.5789473684,yes
8,10,0.6315789474,yes
10,7,0.2105263158,yes
12,8,0.3684210526,yes
8,6,0.6842105263,yes
13,9,0.6315789474,yes
3,4,0.5789473684,yes
8,8,0.4210526316,yes
11,7,0.4736842105,yes
7,9,0.4210526316,yes
9,11,0.7368421053,yes
14,10,0.5263157895,yes
7,9,0.5263157895,yes
9,6,0.3157894737,yes
12,7,0.3684210526,yes
15,12,0.5263157895,yes
11,9,0.5263157895,yes
18,9,0.7368421053,yes
9,5,0.3157894737,yes
11,5,0.6842105263,yes
15,6,0.5263157895,yes
8,7,0.4736842105,yes
6,10,0.4736842105,yes
14,9,0.5263157895,yes
12,10,0.6842105263,yes
5,4,0.5263157895,yes
15,7,0.5263157895,yes
13,8,0.3684210526,yes
15,7,0.7894736842,yes
13,11,0.5789473684,yes
16,11,0.6315789474,yes
10,6,0.6315789474,yes
10,10,0.6842105263,yes
9,6,0.5263157895,yes
8,6,0.3157894737,yes
8,6,0.2631578947,yes
14,8,0.4736842105,yes
11,6,0.2631578947,yes
12,13,0.8947368421,yes
15,11,0.5263157895,yes
13,11,0.6842105263,yes
14,7,0.6842105263,yes
23,13,0.9473684211,no
21,14,0.8421052632,no
21,12,0.8947368421,no
20,13,0.8421052632,no
18,11,0.4736842105,no
16,11,0.7368421053,no
22,13,0.5789473684,no
20,10,0.7894736842,no
19,10,0.8421052632,no
22,12,0.7368421053,no
14,10,0.5789473684,no
15,9,0.6842105263,no
15,9,0.7894736842,no
23,14,1,no
22,12,0.9473684211,no
15,11,0.8421052632,no
18,10,0.7894736842,no
18,9,0.8421052632,no
19,14,1,no
16,10,0.8421052632,no
10,9,0.7894736842,no
11,11,0.8421052632,no
18,10,0.8421052632,no
16,9,0.9473684211,no
22,10,0.8421052632,no
24,11,0.9473684211,no
12,10,0.7894736842,no
15,10,0.6315789474,no
19,10,0.7894736842,no
15,8,0.9473684211,no
20,11,0.8421052632,no
14,8,0.6842105263,no
16,12,0.8421052632,no
20,14,0.8947368421,no
19,13,0.8947368421,no
17,11,0.9473684211,no
19,12,0.7894736842,no
15,8,0.3684210526,no
20,11,0.8947368421,no
20,13,0.7894736842,no
17,14,0.4736842105,no
16,10,0.9473684211,no
19,10,0.7894736842,no
20,12,0.6315789474,no
18,15,0.8947368421,no
20,10,0.9473684211,no
15,9,0.7368421053,no
12,12,0.5263157895,no
13,7,0.5263157895,no
16,11,0.9473684211,no
16,8,1,no
15,11,0.8421052632,no
13,10,0.8947368421,no
15,8,0.6842105263,no
20,13,0.7894736842,no
18,12,0.8421052632,no
20,15,0.7894736842,no
19,11,0.8947368421,no
19,11,0.8947368421,no
17,7,0.5263157895,no
13,11,0.7894736842,no
14,9,0.6315789474,no
18,8,0.9473684211,no
15,9,0.6842105263,no
19,9,0.8421052632,no
10,14,0.7894736842,no
10,13,0.6315789474,no
