"Subject","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","zEnglish.MC","zEnglish.Cloze","English.Overall","ProfileRight"
"1034",19,20,0,0,"DBCA",3,"female",51,"monolingual",3,5,6,32,0,23,19,8,11,1,0,327.5,506.5,1,417,1,1,526,514,0.9771863118,-12,5,5,2,2,3,2,-1.22745629767295,-0.538052595959064,-1.76550889363202,FALSE
"1076",20,15,0,0,"DACB",3,"male",14,"monolingual",3,6,9,30,1,32,23,12,11,1,0.05,218,326,0.9875,272,0.9285714286,0.9285714286,309,299,0.9676375405,-10,1,1,5,4,5,4,-0.360379001303537,-0.538052595959064,-0.898431597262602,FALSE
"1232",20,16,0,0,"DBCA",3,"male",24,"monolingual",4,4,5,32,5,8,34,15,19,1,0.45,407.5,817,0.8875,612.25,0.9285714286,1,356,408,1.1460674157,52,6,6,4,4,3,3,0.289928970973523,0.64529331955228,0.935222290525803,FALSE
"1264",9,6,0,0,"ADBC",4,"male",12,"monolingual",1,4,5,17,21,19,11,9,2,1,0.25,345,608,0.9375,476.5,0.8571428571,0.8571428571,441,430,0.9750566893,-11,4,3,2,2,0,0,-1.0106869735806,-1.86931675090933,-2.88000372448992,FALSE
"1312",2,16,0,0,"CADB",1,"male",77,"monolingual",2,4,6,32,3,2,9,7,2,1,0.45,293.5,1582,0.8875,937.75,1,0.9285714286,403.5,441,1.092936803,37.5,6,6,1,1,2,1,-1.4442256217653,-1.86931675090933,-3.31354237267463,FALSE
"134",24,12,0,0,"ADBC",4,"male",33,"monolingual",3,4,6,32,1,24,24,16,8,1,0.05,401,497,0.9875,449,1,1,434,483.5,1.1140552995,49.5,6,6,3,3,4,4,0.506698295065876,-0.981807314275818,-0.475109019209942,FALSE
"1350",18,26,0,0,"BCAD",2,"male",43,"bilingual",4,7,10,38,0,31,38,17,21,0.95,0.05,133,224,0.9736842105,178.5,0.9285714286,1,369,340.5,0.9227642276,-28.5,6,6,5,5,4,4,0.723467619158229,0.941129798430116,1.66459741758835,FALSE
"1401",20,22,0,0,"DBCA",3,"male",59,"monolingual",4,6,10,38,0,21,39,19,20,0.95,0,267,317,0.9875,292,1,1,450.5,437,0.9700332963,-13.5,6,6,3,3,3,3,1.15700626734294,0.793211558991198,1.95021782633413,FALSE
"1404",20,19,0,0,"ACBD",2,"female",23,"monolingual",3,4,6,29,1,27,29,14,15,1,0,309.5,494.5,1,402,1,0.8571428571,336.5,352,1.0460624071,15.5,6,6,5,5,3,3,0.0731596468811693,0.0536203617966079,0.126780008677777,FALSE
"1570",23,17,0,0,"BDAC",4,"male",29,"monolingual",4,4,6,36,0,19,NA,NA,NA,1,0,253.5,515,1,384.25,1,0.9285714286,501,515,1.0279441118,14,6,6,4,4,4,4,NA,NA,NA,FALSE
"1644",21,24,0,0,"BDAC",4,"female",45,"monolingual",3,4,6,34,0,19,32,15,17,1,0.05,300,1020,0.9875,660,1,1,423.5,461,1.0885478158,37.5,6,6,4,4,3,3,0.289928970973523,0.349456840674444,0.639385811647967,FALSE
"1668",21,30,1,1,"DACB",3,"female",37,"monolingual",3,4,6,35,4,21,37,19,18,1,0.05,438,755,0.9875,596.5,1,1,418.5,463,1.1063321386,44.5,6,1,4,4,4,3,1.15700626734294,0.497375080113362,1.6543813474563,TRUE
"1830",13,6,0,0,"CADB",1,"male",15,"monolingual",3,4,5,18,3,5,22,12,10,0.95,0,454,702,0.9875,578,1,0.9285714286,409,468,1.1442542787,59,6,6,2,2,2,2,-0.360379001303537,-0.685970835397982,-1.04634983670152,FALSE
"1897",17,23,2,0,"ADBC",4,"male",33,"monolingual",8,3,5,31,4,16,30,13,17,1,0.15,226,726,0.9625,476,1,0.9285714286,439,430,0.979498861,-9,5,5,1,1,4,4,-0.143609677211184,0.349456840674444,0.20584716346326,TRUE
"1936",22,23,0,0,"DBCA",3,"male",60,"monolingual",4,5,7,36,4,24,41,19,22,1,0,691,833,1,762,1,1,850.5,812,0.9547325103,-38.5,6,6,4,4,4,4,1.15700626734294,1.08904803786903,2.24605430521197,FALSE
"1967",15,14,0,0,"BDAC",4,"male",72,"monolingual",1,4,5,NA,NA,3,10,9,1,0.95,0,370,631.5,0.9875,500.75,1,1,610.5,661.5,1.0835380835,51,5,5,0,0,2,2,-1.0106869735806,-2.01723499034824,-3.02792196392884,FALSE
"1976",11,13,0,0,"ADBC",4,"male",11,"bilingual",1,3,3,15,17,18,9,5,4,1,0.3,607,901.5,0.925,754.25,0.7857142857,0.8571428571,498,498,1,0,6,6,5,5,1,1,-1.87776426995001,-1.57348027203149,-3.4512445419815,FALSE
"2151",13,15,0,0,"ADBC",4,"female",26,"monolingual",4,8,11,32,0,28,33,17,16,1,0.05,411,585,0.9875,498,0.9285714286,1,589,405,0.6876061121,-184,6,6,4,5,4,4,0.723467619158229,0.201538601235526,0.925006220393755,FALSE
"2196",10,21,0,0,"CBDA",1,"female",67,"monolingual",4,4,6,35,0,22,36,16,20,0.95,0.2,477,562.5,0.9317434211,519.75,1,1,865,728.5,0.8421965318,-136.5,6,6,4,3,3,2,0.506698295065876,0.793211558991198,1.29990985405707,FALSE
"2271",20,24,0,0,"ADBC",4,"female",26,"bilingual",4,6,8,35,0,28,43,20,23,1,0,203,263.5,1,233.25,1,1,295,312.5,1.0593220339,17.5,6,6,3,4,6,6,1.37377559143529,1.23696627730795,2.61074186874324,FALSE
"2285",26,27,0,0,"CADB",1,"male",51,"monolingual",2,5,7,34,0,32,35,17,18,1,0.05,370.5,625,0.9875,497.75,1,1,537.5,594.5,1.1060465116,57,6,6,2,1,4,4,0.723467619158229,0.497375080113362,1.22084269927159,FALSE
"2290",7,21,0,0,"CBDA",1,"male",58,"monolingual",2,4,5,36,1,0,33,13,20,0.95,0,216,782.5,0.9875,499.25,0.9285714286,0.8571428571,665,639.5,0.9616541353,-25.5,3,4,1,1,6,6,-0.143609677211184,0.793211558991198,0.649601881780014,FALSE
"230",12,26,0,0,"BCAD",2,"male",84,"monolingual",4,5,7,37,0,20,31,15,16,1,0.1,303.5,512,0.975,407.75,1,1,402.5,475.5,1.1813664596,73,6,6,5,5,3,3,0.289928970973523,0.201538601235526,0.491467572209049,FALSE
"2384",17,19,1,0,"DACB",3,"female",27,"monolingual",2,5,7,36,0,22,36,16,20,1,0,271.5,343,1,307.25,1,1,347.5,385,1.1079136691,37.5,6,6,5,5,5,4,0.506698295065876,0.793211558991198,1.29990985405707,TRUE
"2493",16,17,0,0,"BDAC",4,"male",16,"monolingual",2,3,4,22,3,18,27,13,14,1,0,368.5,601,1,484.75,0.9285714286,1,359,350,0.9749303621,-9,6,6,3,2,3,3,-0.143609677211184,-0.0942978776423102,-0.237907554853494,FALSE
"2654",18,10,0,0,"ACBD",2,"female",41,"monolingual",2,5,6,33,1,15,24,11,13,1,0,196,291.5,1,243.75,0.9285714286,1,502,469.5,0.9352589641,-32.5,6,6,3,3,3,3,-0.577148325395891,-0.242216117081228,-0.819364442477119,FALSE
"2795",4,16,0,0,"BDAC",4,"female",70,"monolingual",2,5,7,37,5,7,7,7,0,0.95,0,307,888,0.9875,597.5,1,0.9285714286,405.5,523,1.2897657213,117.5,6,6,3,3,0,1,-1.4442256217653,-2.16515322978716,-3.60937885155247,FALSE
"2846",6,3,0,0,"DACB",3,"female",11,"monolingual",3,4,6,4,0,15,6,6,0,1,0.1,571.5,792,0.975,681.75,0.8571428571,0.7857142857,451,415,0.9201773836,-36,3,1,1,1,2,3,-1.66099494585766,-2.16515322978716,-3.82614817564482,FALSE
"288",12,9,0,0,"BCAD",2,"male",28,"monolingual",4,6,9,35,0,24,39,16,23,1,0.05,287,486,0.9875,386.5,1,1,393.5,365.5,0.9288437103,-28,6,6,3,3,3,3,0.506698295065876,1.23696627730795,1.74366457237383,FALSE
"2909",6,10,0,0,"ADBC",4,"male",58,"monolingual",2,6,8,34,8,9,16,6,10,1,0.15,636.5,776,0.9625,706.25,1,1,540.5,683.5,1.2645698427,143,1,1,5,5,6,6,-1.66099494585766,-0.685970835397982,-2.34696578125564,FALSE
"3071",18,18,0,0,"ACBD",2,"female",48,"monolingual",3,6,7,26,1,24,28,16,12,1,0.05,435.5,955,0.9875,695.25,1,1,525,532,1.0133333333,7,6,6,4,4,3,3,0.506698295065876,-0.390134356520146,0.11656393854573,FALSE
"3121",11,11,0,0,"CADB",1,"female",15,"bilingual",2,4,5,20,9,22,34,15,19,0.95,0,362,514.5,0.9875,438.25,0.8571428571,0.9285714286,491.5,444,0.9033570702,-47.5,6,6,6,6,3,3,0.289928970973523,0.64529331955228,0.935222290525803,FALSE
"3125",8,9,0,0,"ADBC",4,"male",12,"bilingual",1,3,4,20,9,15,14,9,5,1,0.1,510.5,714.5,0.975,612.5,0.9285714286,0.9285714286,488,547,1.1209016393,59,6,6,6,6,1,1,-1.0106869735806,-1.42556203259257,-2.43624900617317,FALSE
"3172",14,12,0,0,"CADB",1,"male",16,"monolingual",2,6,8,23,0,17,19,8,11,1,0,326.5,432,1,379.25,1,1,420,413.5,0.9845238095,-6.5,4,5,1,1,3,3,-1.22745629767295,-0.538052595959064,-1.76550889363202,FALSE
"3204",17,15,0,0,"DBCA",3,"female",15,"monolingual",2,7,9,25,9,23,28,13,15,1,0.2,518,859.5,0.95,688.75,1,1,461,428.5,0.9295010846,-32.5,1,1,1,1,2,2,-0.143609677211184,0.0536203617966079,-0.0899893154145761,FALSE
"326",20,24,0,1,"ADBC",4,"female",32,"monolingual",3,4,6,35,3,19,32,15,17,1,0,467,845.5,1,656.25,1,1,437.5,436.5,0.9977142857,-1,6,6,4,4,4,4,0.289928970973523,0.349456840674444,0.639385811647967,TRUE
"3270",15,17,0,0,"BCAD",2,"female",36,"monolingual",5,6,9,36,1,17,42,19,23,1,0,528,1048.5,1,788.25,1,1,509,539,1.0589390963,30,6,6,3,2,5,5,1.15700626734294,1.23696627730795,2.39397254465089,FALSE
"3357",13,6,0,0,"DBCA",3,"female",44,"monolingual",3,4,5,34,1,18,31,16,15,1,0.05,336.5,501,0.9875,418.75,1,0.9285714286,428,541,1.2640186916,113,6,6,4,5,4,4,0.506698295065876,0.0536203617966079,0.560318656862484,FALSE
"3434",17,26,1,1,"BDAC",4,"female",37,"monolingual",3,3,3,37,3,17,39,16,23,1,0,644,981,1,812.5,1,1,451.5,602.5,1.334440753,151,6,6,4,4,5,5,0.506698295065876,1.23696627730795,1.74366457237383,TRUE
"3454",15,11,0,0,"BCAD",2,"male",10,"monolingual",2,4,5,23,15,9,11,4,7,0.9,0,525.5,1066,0.975,795.75,1,0.9285714286,332,436,1.313253012,104,6,6,4,3,5,4,-2.09453359404236,-1.12972555371474,-3.2242591477571,FALSE
"3494",20,24,0,0,"ACBD",2,"female",46,"monolingual",4,4,5,32,0,22,28,17,11,1,0,170.5,323,1,246.75,1,1,377.5,395,1.0463576159,17.5,5,6,3,3,2,3,0.723467619158229,-0.538052595959064,0.185415023199165,FALSE
"3558",9,3,0,0,"BDAC",4,"male",10,"monolingual",2,3,3,4,0,14,9,5,4,0.95,0.1,526,738.5,0.9597953216,632.25,0.9285714286,1,457,483.5,1.0579868709,26.5,4,4,1,1,1,2,-1.87776426995001,-1.57348027203149,-3.4512445419815,FALSE
"3566",18,24,0,0,"CBDA",1,"female",29,"monolingual",3,7,10,34,0,19,39,16,23,1,0,352,647,1,499.5,1,0.9285714286,359.5,416,1.157162726,56.5,6,6,2,1,4,4,0.506698295065876,1.23696627730795,1.74366457237383,FALSE
"3691",21,22,0,0,"ADBC",4,"female",59,"monolingual",3,5,8,35,0,18,38,18,20,1,0,347,448,1,397.5,1,1,583,582.5,0.9991423671,-0.5,5,5,3,3,3,4,0.940236943250583,0.793211558991198,1.73344850224178,FALSE
"3704",20,29,0,0,"ACBD",2,"male",72,"monolingual",4,4,5,35,0,26,40,18,22,1,0,303,573.5,1,438.25,1,1,520.5,464,0.8914505283,-56.5,6,6,4,4,3,3,0.940236943250583,1.08904803786903,2.02928498111962,FALSE
"3836",18,14,0,0,"ADBC",4,"female",66,"monolingual",4,6,9,35,1,20,29,15,14,1,0,308.5,559,1,433.75,1,0.9285714286,491,485,0.9877800407,-6,6,6,5,5,3,3,0.289928970973523,-0.0942978776423102,0.195631093331213,FALSE
"3843",20,19,0,0,"ACBD",2,"male",70,"monolingual",4,4,5,34,0,17,10,10,0,1,0.05,333.5,407,0.9875,370.25,1,0.9285714286,419.5,507,1.2085816448,87.5,6,6,4,5,3,3,-0.793917649488244,-2.16515322978716,-2.95907087927541,FALSE
"3859",24,29,1,0,"BDAC",4,"female",24,"monolingual",5,8,9,35,0,21,44,20,24,1,0,239.5,376,1,307.75,1,1,480,451.5,0.940625,-28.5,6,6,4,4,5,5,1.37377559143529,1.38488451674687,2.75866010818216,TRUE
"3914",12,8,0,0,"ACBD",2,"female",11,"monolingual",3,4,6,12,7,11,3,0,3,1,0.05,513,662,0.9875,587.5,1,0.8571428571,454.5,522,1.1485148515,67.5,NA,NA,NA,NA,NA,NA,-2.96161089041178,-1.72139851147041,-4.68300940188219,FALSE
"4137",19,27,0,0,"BCAD",2,"female",60,"bilingual",4,4,5,34,0,7,33,15,18,1,0.15,558.5,1045,0.9625,801.75,1,1,877.5,797,0.9082621083,-80.5,6,6,5,5,5,5,0.289928970973523,0.497375080113362,0.787304051086885,FALSE
"4155",22,23,1,0,"DBCA",3,"female",33,"monolingual",4,4,6,35,0,27,42,20,22,1,0.05,265.5,1025,0.9875,645.25,1,0.9285714286,415.5,388,0.9338146811,-27.5,6,6,5,5,5,5,1.37377559143529,1.08904803786903,2.46282362930432,TRUE
"4181",16,15,0,0,"CBDA",1,"female",74,"bilingual",4,4,5,36,0,0,35,18,17,0.9,0.05,548.5,713,0.9597953216,630.75,1,1,549,686.5,1.2504553734,137.5,5,5,4,3,4,3,0.940236943250583,0.349456840674444,1.28969378392503,FALSE
"4274",16,27,1,0,"BCAD",2,"male",70,"monolingual",3,6,9,38,4,18,34,12,22,1,0.05,317,454,0.9875,385.5,1,0.9285714286,451,558,1.2372505543,107,6,6,4,4,4,3,-0.360379001303537,1.08904803786903,0.728669036565497,TRUE
"4369",22,28,0,0,"ADBC",4,"female",41,"monolingual",4,6,10,34,0,29,33,15,18,1,0.15,232.5,402,0.9625,317.25,1,1,349.5,404,1.1559370529,54.5,5,6,3,5,3,3,0.289928970973523,0.497375080113362,0.787304051086885,FALSE
"4420",12,7,0,0,"ADBC",4,"female",47,"monolingual",2,4,5,29,1,7,28,14,14,1,0.05,174,577,0.9875,375.5,1,1,368,471,1.2798913043,103,6,6,3,2,2,2,0.0731596468811693,-0.0942978776423102,-0.0211382307611408,FALSE
"4432",16,20,0,0,"CBDA",1,"female",16,"monolingual",3,4,6,29,0,18,32,16,16,0.95,0,280,279.5,0.9875,279.75,0.8571428571,0.8571428571,390,384,0.9846153846,-6,6,6,3,3,4,4,0.506698295065876,0.201538601235526,0.708236896301402,FALSE
"447",22,25,0,0,"DACB",3,"female",53,"monolingual",3,5,8,34,0,16,30,13,17,1,0.15,296,637,0.9625,466.5,1,1,506,533,1.0533596838,27,6,6,2,2,2,2,-0.143609677211184,0.349456840674444,0.20584716346326,FALSE
"4566",13,13,0,0,"DACB",3,"female",11,"monolingual",3,4,6,17,10,15,10,5,5,1,0.05,411.5,491,0.9875,451.25,0.5714285714,0.9285714286,321,358,1.1152647975,37,6,6,2,2,3,3,-1.87776426995001,-1.42556203259257,-3.30332630254258,FALSE
"4650",17,30,2,0,"ADBC",4,"female",48,"monolingual",4,5,8,41,1,21,41,18,23,1,0,176.5,240,1,208.25,1,0.9285714286,343,379,1.1049562682,36,6,6,4,4,6,6,0.940236943250583,1.23696627730795,2.17720322055853,TRUE
"4675",10,13,0,0,"DBCA",3,"male",71,"monolingual",2,5,6,33,0,3,17,11,6,1,0.1,356,795,0.975,575.5,0.9285714286,1,612,510,0.8333333333,-102,5,5,3,3,3,3,-0.577148325395891,-1.27764379315365,-1.85479211854955,FALSE
"4854",8,24,0,0,"ADBC",4,"male",86,"monolingual",3,5,7,34,3,8,9,7,2,0.95,0.25,872,1404,0.9175438596,1138,1,0.9285714286,544,679,1.2481617647,135,4,3,2,1,2,1,-1.4442256217653,-1.86931675090933,-3.31354237267463,FALSE
"4932",19,21,0,0,"CBDA",1,"female",16,"monolingual",2,5,8,32,2,19,29,14,15,1,0.1,249,348,0.975,298.5,0.8571428571,1,417,345,0.8273381295,-72,6,6,3,2,3,3,0.0731596468811693,0.0536203617966079,0.126780008677777,FALSE
"5153",25,28,0,0,"ACBD",2,"female",51,"monolingual",3,4,6,37,1,18,37,15,22,0.95,0,247,480.5,0.9875,363.75,1,0.9285714286,384,458,1.1927083333,74,6,6,4,4,4,4,0.289928970973523,1.08904803786903,1.37897700884256,FALSE
"5180",14,24,0,0,"CADB",1,"male",65,"bilingual",5,5,6,38,0,11,34,17,17,1,0.05,311.5,350,0.9875,330.75,1,1,464,516,1.1120689655,52,5,5,5,5,4,4,0.723467619158229,0.349456840674444,1.07292445983267,FALSE
"527",9,15,0,0,"ACBD",2,"male",71,"monolingual",2,5,8,34,0,15,35,16,19,0.95,0.1,672,1578.5,0.9597953216,1125.25,1,1,760.5,703.5,0.9250493097,-57,4,4,2,2,3,3,0.506698295065876,0.64529331955228,1.15199161461816,FALSE
"5277",16,15,0,0,"CADB",1,"male",27,"monolingual",3,5,7,29,0,29,NA,NA,NA,1,0.05,174.5,175,0.9875,174.75,1,1,363.5,354,0.9738651994,-9.5,6,6,2,1,4,3,NA,NA,NA,FALSE
"5290",5,5,0,0,"ACBD",2,"female",10,"bilingual",2,4,6,20,22,4,10,6,4,1,0.3,390,656.5,0.925,523.25,0.9285714286,1,673,702.5,1.043833581,29.5,6,6,0,0,3,3,-1.66099494585766,-1.57348027203149,-3.23447521788915,FALSE
"5362",19,26,0,0,"BCAD",2,"male",33,"monolingual",3,3,4,35,0,20,43,20,23,1,0,316.5,682.5,1,499.5,0.8571428571,0.8571428571,554.5,466.5,0.8412984671,-88,6,6,4,4,5,5,1.37377559143529,1.23696627730795,2.61074186874324,FALSE
"5449",23,24,1,0,"DACB",3,"female",32,"monolingual",2,4,6,34,0,27,41,18,23,1,0,261,388.5,1,324.75,1,1,469,537.5,1.1460554371,68.5,6,6,2,2,4,4,0.940236943250583,1.23696627730795,2.17720322055853,TRUE
"545",19,14,0,0,"DACB",3,"female",16,"monolingual",3,3,4,29,4,21,25,13,12,1,0,303.5,466.5,1,385,0.9285714286,0.9285714286,356,426,1.1966292135,70,6,6,3,3,3,3,-0.143609677211184,-0.390134356520146,-0.53374403373133,FALSE
"5491",24,33,0,0,"CADB",1,"female",41,"monolingual",4,5,7,35,0,32,43,19,24,1,0.05,289,537,0.9875,413,0.9285714286,1,311,368,1.1832797428,57,6,6,3,3,4,4,1.15700626734294,1.38488451674687,2.54189078408981,FALSE
"550",22,24,0,0,"ACBD",2,"female",52,"bilingual",3,4,5,35,0,15,27,13,14,1,0.05,344.5,440,0.9875,392.25,1,1,705,729,1.0340425532,24,6,6,3,4,2,2,-0.143609677211184,-0.0942978776423102,-0.237907554853494,FALSE
"552",17,18,0,0,"CBDA",1,"female",56,"monolingual",3,4,6,36,0,24,30,14,16,1,0,201,288.5,1,244.75,1,0.8571428571,464.5,477.5,1.0279870829,13,5,5,4,4,3,2,0.0731596468811693,0.201538601235526,0.274698248116695,FALSE
"5566",22,28,1,0,"DACB",3,"female",42,"monolingual",4,3,4,32,6,6,31,16,15,0.95,0.05,231,855,0.9736842105,543,1,0.9285714286,349.5,455,1.3018597997,105.5,4,6,3,3,4,3,0.506698295065876,0.0536203617966079,0.560318656862484,TRUE
"5584",22,24,1,2,"BCAD",2,"female",30,"monolingual",4,7,9,37,0,29,39,18,21,1,0,275.5,337.5,1,306.5,1,1,547,459,0.8391224863,-88,6,6,5,5,4,4,0.940236943250583,0.941129798430116,1.8813667416807,TRUE
"5621",19,26,0,0,"BDAC",4,"female",30,"bilingual",5,5,7,33,0,26,41,19,22,1,0,333.5,637.5,1,485.5,1,0.9285714286,326.5,403,1.2343032159,76.5,6,6,3,3,4,4,1.15700626734294,1.08904803786903,2.24605430521197,FALSE
"5731",21,24,0,0,"CBDA",1,"female",76,"bilingual",3,4,6,38,0,16,41,19,22,0.95,0,758,1045.5,0.9875,901.75,1,1,1023.5,785,0.7669760625,-238.5,4,5,3,3,4,4,1.15700626734294,1.08904803786903,2.24605430521197,FALSE
"5755",20,19,0,0,"DACB",3,"male",16,"monolingual",4,4,6,36,0,29,38,17,21,1,0,357.5,382,1,369.75,0.9285714286,0.9285714286,366,369,1.0081967213,3,6,5,3,3,4,4,0.723467619158229,0.941129798430116,1.66459741758835,FALSE
"5885",20,20,0,0,"ACBD",2,"male",62,"monolingual",2,5,8,37,1,13,36,19,17,1,0,583,820.5,1,701.75,1,1,620,555.5,0.8959677419,-64.5,5,6,4,4,4,4,1.15700626734294,0.349456840674444,1.50646310801738,FALSE
"5901",21,22,0,0,"ADBC",4,"male",15,"monolingual",2,4,6,30,2,23,33,15,18,1,0.05,247.5,301,0.9875,274.25,1,1,374.5,392.5,1.0480640854,18,NA,NA,NA,NA,NA,NA,0.289928970973523,0.497375080113362,0.787304051086885,FALSE
